y,x,ref,highway,street_count,geometry
40.7700762,-73.9514149,,traffic_signals,4,POINT (-73.9514149 40.7700762)
40.7707103,-73.9509381,,traffic_signals,4,POINT (-73.9509381 40.7707103)
40.7714021,-73.9504368,,traffic_signals,4,POINT (-73.95043680000001 40.7714021)
40.7720657,-73.9499424,,traffic_signals,4,POINT (-73.9499424 40.7720657)
40.7727099,-73.9494729,,traffic_signals,4,POINT (-73.9494729 40.7727099)
40.773343,-73.9490092,,traffic_signals,4,POINT (-73.94900920000001 40.773343)
40.7739762,-73.9485506,,traffic_signals,4,POINT (-73.9485506 40.7739762)
40.7746141,-73.9480817,,traffic_signals,4,POINT (-73.9480817 40.7746141)
40.7752458,-73.9476241,,traffic_signals,4,POINT (-73.9476241 40.7752458)
40.775929,-73.947122,,traffic_signals,4,POINT (-73.94712199999999 40.775929)
40.7766012,-73.9466301,,traffic_signals,4,POINT (-73.94663009999999 40.7766012)
40.7772273,-73.9461727,,traffic_signals,4,POINT (-73.94617270000001 40.7772273)
40.7778572,-73.9457131,,traffic_signals,4,POINT (-73.94571310000001 40.7778572)
40.7784828,-73.9452574,,traffic_signals,4,POINT (-73.9452574 40.7784828)
40.779146,-73.9447758,,traffic_signals,3,POINT (-73.9447758 40.779146)
40.7797706,-73.9443355,,traffic_signals,5,POINT (-73.94433549999999 40.7797706)
40.7812798,-73.9759984,,traffic_signals,3,POINT (-73.97599839999999 40.7812798)
40.7824641,-73.9788209,,traffic_signals,4,POINT (-73.9788209 40.7824641)
40.7832069,-73.9805809,,traffic_signals,4,POINT (-73.98058090000001 40.7832069)
40.7836627,-73.9816684,,traffic_signals,4,POINT (-73.9816684 40.7836627)
40.784357,-73.9833075,,traffic_signals,3,POINT (-73.9833075 40.784357)
40.8474237,-73.9313827,,traffic_signals,3,POINT (-73.9313827 40.8474237)
40.848038,-73.932849,,traffic_signals,4,POINT (-73.932849 40.848038)
40.848626,-73.934239,,traffic_signals,4,POINT (-73.93423900000001 40.848626)
40.849145,-73.935471,,traffic_signals,4,POINT (-73.93547100000001 40.849145)
40.849541,-73.936397,,traffic_signals,4,POINT (-73.936397 40.849541)
40.8501784,-73.9396399,,,4,POINT (-73.9396399 40.8501784)
40.8503746,-73.940603,,stop,3,POINT (-73.940603 40.8503746)
40.848223,-73.9414149,,,3,POINT (-73.9414149 40.848223)
40.8513418,-73.9402247,,traffic_signals,4,POINT (-73.9402247 40.8513418)
40.854677,-73.938652,,,3,POINT (-73.938652 40.854677)
40.8556043,-73.9379223,,traffic_signals,4,POINT (-73.9379223 40.8556043)
40.8573519,-73.936584,,,3,POINT (-73.936584 40.8573519)
40.7371276,-73.9903368,,traffic_signals,3,POINT (-73.99033679999999 40.7371276)
40.7378014,-73.9901312,,traffic_signals,4,POINT (-73.99013119999999 40.7378014)
40.7384888,-73.9899514,,traffic_signals,4,POINT (-73.9899514 40.7384888)
40.739176,-73.9897657,,traffic_signals,4,POINT (-73.98976570000001 40.739176)
40.7398576,-73.9895753,,traffic_signals,4,POINT (-73.9895753 40.7398576)
40.7405826,-73.9893518,,traffic_signals,4,POINT (-73.98935179999999 40.7405826)
40.7413706,-73.9891329,,traffic_signals,4,POINT (-73.9891329 40.7413706)
40.7422193,-73.9891036,,traffic_signals,3,POINT (-73.98910360000001 40.7422193)
40.7430463,-73.9891667,,traffic_signals,4,POINT (-73.9891667 40.7430463)
40.7438037,-73.9890293,,traffic_signals,4,POINT (-73.9890293 40.7438037)
40.7445356,-73.9888931,,traffic_signals,4,POINT (-73.9888931 40.7445356)
40.7452886,-73.9887531,,traffic_signals,5,POINT (-73.9887531 40.7452886)
40.7468077,-73.9884704,,traffic_signals,4,POINT (-73.9884704 40.7468077)
40.7475512,-73.9883321,,traffic_signals,4,POINT (-73.98833209999999 40.7475512)
40.7506824,-73.9878205,,traffic_signals,3,POINT (-73.9878205 40.7506824)
40.751444,-73.9876732,,traffic_signals,4,POINT (-73.9876732 40.751444)
40.7521844,-73.9875229,,traffic_signals,4,POINT (-73.9875229 40.7521844)
40.7529083,-73.9873363,,traffic_signals,4,POINT (-73.9873363 40.7529083)
40.753627,-73.987107,,traffic_signals,4,POINT (-73.98710699999999 40.753627)
40.754331,-73.9868871,,traffic_signals,4,POINT (-73.9868871 40.754331)
40.755051,-73.9866613,,traffic_signals,4,POINT (-73.98666129999999 40.755051)
40.7558122,-73.9864171,,traffic_signals,3,POINT (-73.9864171 40.7558122)
40.7579634,-73.9855335,,traffic_signals,4,POINT (-73.9855335 40.7579634)
40.7594263,-73.9851384,,traffic_signals,3,POINT (-73.9851384 40.7594263)
40.7601316,-73.9848631,,traffic_signals,4,POINT (-73.9848631 40.7601316)
40.7608012,-73.9845109,,traffic_signals,4,POINT (-73.9845109 40.7608012)
