,node,y,x,ref,highway,street_count
11199,42515637,40.636046,-73.91643,,traffic_signals,4
11200,42515653,40.63889,-73.912034,,,4
11201,42515660,40.639849,-73.910547,,traffic_signals,4
11202,42515668,40.641232,-73.908403,,,4
11203,42515675,40.642258,-73.906812,,,3
11204,42515683,40.64359,-73.904702,,,4
11205,42515689,40.644052,-73.903988,,stop,4
11206,42515702,40.646182,-73.900692,,,3
11207,42515709,40.647108,-73.899266,,,3
11208,42515730,40.6326103,-73.9609181,,,4
11209,42515739,40.6331682,-73.9558002,,,4
11210,42515750,40.633428,-73.952974,,traffic_signals,4
11211,42515753,40.633635,-73.951059,,traffic_signals,5
11212,42515769,40.634355,-73.942009,,traffic_signals,4
11213,42515773,40.634767,-73.93536,,,4
11214,42515777,40.634947,-73.9325,,,3
11215,42515782,40.635006,-73.931531,,traffic_signals,3
11216,42515785,40.635121,-73.929625,,,3
11217,42515788,40.635187,-73.928612,,traffic_signals,4
11218,42515792,40.635259,-73.927448,,traffic_signals,4
11219,42515794,40.635306,-73.926675,,,4
11220,42515799,40.635428,-73.924738,,,4
11221,42515825,40.6903886,-73.9898221,,traffic_signals,4
11222,42515829,40.6897585,-73.9902391,,traffic_signals,4
11223,42515835,40.6885757,-73.9910903,,,4
11224,42515840,40.687959,-73.991509,,,4
11225,42515844,40.6873112,-73.9919332,,,3
11226,42515853,40.581259,-73.957919,,,3
11227,42515868,40.638963,-74.030606,,,3
11228,42515872,40.638279,-74.030891,,traffic_signals,4
11229,42515878,40.6334276,-74.0328718,,,4
11230,42515887,40.630565,-74.034041,,,4
11231,42515894,40.629847,-74.034336,,,4
11232,42515897,40.628375,-74.034938,,,4
11233,42515902,40.626285,-74.035789,,,3
11234,42515907,40.624,-74.036726,,,4
11235,42515910,40.623319,-74.037004,,,4
11236,42515914,40.622638,-74.037282,,,4
11237,42515917,40.621275,-74.03784,,traffic_signals,4
11238,42515936,40.679832,-73.953206,,,3
11239,42515938,40.6793335,-73.9440482,,traffic_signals,4
11240,42515948,40.678729,-73.932969,,,3
11241,42515953,40.67855,-73.929811,,,3
11242,42515961,40.678428,-73.927427,,,4
11243,42515964,40.678378,-73.926492,,,3
11244,42515975,40.67802,-73.919991,,,3
11245,42515979,40.677924,-73.918191,,,3
11246,42515989,40.677724,-73.914519,,,3
11247,42515994,40.677521,-73.910814,,traffic_signals,4
11248,42515995,40.67742,-73.908982,,,3
11249,42516000,40.677312,-73.907023,,,3
11250,42516007,40.677208,-73.905137,,,3
11251,42516014,40.677159,-73.90426,,,3
11252,42516016,40.677112,-73.903355,,stop,4
11253,42516026,40.643812,-73.983976,,,4
11254,42516028,40.643068,-73.985897,,,3
11255,42516043,40.7332702,-73.9598273,,,3
11256,42516047,40.7334258,-73.9581769,,traffic_signals;crossing,4
11257,42516051,40.73374,-73.954843,,traffic_signals,4
11258,42516066,40.638726,-73.898059,,,3
11259,42516074,40.6661014,-73.9921647,,traffic_signals,4
11260,42516078,40.663437,-73.986655,,,3
11261,42516084,40.663069,-73.985893,,,3
11262,42516089,40.661539,-73.982732,,traffic_signals,4
11263,42516094,40.659257,-73.978015,,,4
11264,42516097,40.658116,-73.975652,,,4
11265,42516101,40.7238144,-73.932444,,,3
11266,42516108,40.725826,-73.933344,,,3
11267,42516131,40.628702,-74.019701,,,3
11268,42516137,40.7073984,-73.9254225,,,3
11269,42516151,40.7102956,-73.9264225,,,1
