,filtered_street,WEIGHT
880,Banner Avenue,3.0
881,Barbey Street,16.0
882,Barclay Avenue,25.0
883,Barclay Circle,3.0
884,Barclay Street,9.0
885,Bard Avenue,15.0
886,Barker Avenue,11.0
887,Barker Street,1.0
888,Barkley Avenue,7.0
889,Barnard Avenue,1.0
890,Barnes Avenue,87.0
891,Barnett Avenue,3.0
892,Barnwell Avenue,4.0
893,Barretto Street,11.0
894,Barrow Street,3.0
895,Barry Street,8.0
896,Bartholdi Street,4.0
897,Bartlett Avenue,1.0
898,Bartlett Street,2.0
899,Bartow Avenue,109.0
900,Baruch Drive,3.0
901,Baruch Place,1.0
902,Bassett Avenue,2.0
903,Bassford Avenue,3.0
904,Batchelder Street,12.0
905,Bath Avenue,63.0
906,Bathgate Avenue,39.0
907,Battery Avenue,1.0
908,Battery Place,12.0
909,Baxter Avenue,19.0
910,Baxter Street,6.0
911,Bay 10 Street,3.0
912,Bay 11 Street,3.0
913,Bay 13 Street,3.0
914,Bay 14 Street,3.0
915,Bay 16 Street,12.0
916,Bay 17 Street,6.0
917,Bay 19 Street,7.0
918,Bay 20 Street,4.0
919,Bay 22 Street,1.0
920,Bay 23 Street,8.0
921,Bay 25 Street,12.0
922,Bay 26 Street,4.0
923,Bay 28 Street,3.0
924,Bay 29 Street,8.0
925,Bay 31 Street,1.0
926,Bay 32 Street,7.0
927,Bay 35 Street,6.0
928,Bay 38 Street,1.0
929,Bay 40 Street,10.0
930,Bay 43 Street,4.0
931,Bay 44 Street,4.0
932,Bay 46 Street,3.0
933,Bay 48 Street,1.0
934,Bay 49 Street,1.0
935,Bay 50 Street,1.0
936,Bay 52 Street,3.0
937,Bay 53 Street,1.0
938,Bay 54 Street,8.0
939,Bay 7 Street,1.0
940,Bay 8 Street,15.0
941,Bay Avenue,9.0
942,Bay Court,1.0
943,Bay Parkway,143.0
944,Bay Ridge Avenue,76.0
945,Bay Ridge Parkway,102.0
946,Bay Ridge Place,1.0
947,Bay Street,124.0
948,Bay Terrace,8.0
949,Bay View Avenue,3.0
950,Bayard Street,21.0
951,Baychester Avenue,143.0
952,Bayfield Avenue,1.0
953,Bayport Place,1.0
954,Bayside Avenue,6.0
955,Bayside Lane,3.0
956,Bayswater Avenue,5.0
957,Beach 100 Street,2.0
958,Beach 101 Street,3.0
959,Beach 105 Street,3.0
960,Beach 108 Street,14.0
961,Beach 109 Street,5.0
962,Beach 11 Street,4.0
963,Beach 111 Street,3.0
964,Beach 112 Street,1.0
965,Beach 113 Street,4.0
966,Beach 114 Street,1.0
967,Beach 116 Street,8.0
968,Beach 119 Street,2.0
969,Beach 12 Street,2.0
970,Beach 120 Street,1.0
971,Beach 121 Street,2.0
972,Beach 122 Street,1.0
973,Beach 123 Street,4.0
974,Beach 124 Street,3.0
975,Beach 129 Street,3.0
976,Beach 13 Street,2.0
977,Beach 133 Street,3.0
978,Beach 134 Street,1.0
979,Beach 136 Street,4.0
980,Beach 138 Street,1.0
981,Beach 148 Street,1.0
982,Beach 15 Street,1.0
983,Beach 16 Street,1.0
984,Beach 169 Street,3.0
985,Beach 17 Street,6.0
986,Beach 19 Street,31.0
987,Beach 20 Street,32.0
988,Beach 21 Street,10.0
989,Beach 22 Street,9.0
990,Beach 221 Street,3.0
991,Beach 26 Street,6.0
992,Beach 28 Street,5.0
993,Beach 29 Street,6.0
994,Beach 3 Street,1.0
995,Beach 32 Street,5.0
996,Beach 35 Street,3.0
997,Beach 36 Street,3.0
998,Beach 37 Street,4.0
999,Beach 38 Street,8.0
1000,Beach 39 Street,4.0
1001,Beach 40 Street,4.0
1002,Beach 41 Street,6.0
1003,Beach 42 Street,4.0
1004,Beach 43 Street,1.0
1005,Beach 44 Street,5.0
1006,Beach 45 Street,1.0
1007,Beach 46 Street,3.0
1008,Beach 5 Street,1.0
1009,Beach 51 Street,4.0
1010,Beach 53 Street,3.0
